c,0-10,0-05,0-01,np
0,229.1,298.1,458.2,0.01
1,26.18,31.93,44.68,0.14
2,12.2,14.43,19.27,0.43
3,8.11,9.41,12.2,0.82
4,6.24,7.15,9.07,1.27
5,5.19,5.88,7.34,1.78
6,4.52,5.08,6.25,2.33
7,4.05,4.52,5.5,2.9
8,3.7,4.11,4.96,3.5
9,3.44,3.8,4.54,4.13
10,3.22,3.55,4.22,4.77
11,3.05,3.35,3.95,5.42
12,2.91,3.18,3.74,6.09
13,2.79,3.04,3.55,6.78
14,2.69,2.92,3.4,7.47
15,2.6,2.82,3.26,8.18
16,2.52,2.73,3.15,8.89
17,2.45,2.65,3.04,9.61
18,2.39,2.58,2.95,10.34
19,2.33,2.51,2.87,11.08
20,2.28,2.45,2.79,11.82
21,2.24,2.4,2.73,12.57
22,2.2,2.35,2.67,13.32
23,2.16,2.31,2.61,14.08
