c,Pa=.995,Pa=.975,Pa=.950,Pa=.900,Pa=.750,Pa=.500,Pa=.250,Pa=.100,Pa=0.050,Pa=0.025,Pa=.010,Pa=.005
c,0-995,0-975,0-95,0-9,0-75,0-5,0-25,0-1,0-05,0-025,0-01,0-005
0,0.005,0.25,0.51,0.105,0.288,0.693,1.38,2.3,2.99,3.68,4.6,5.29
1,0.103,0.242,0.355,0.532,0.961,1.67,2.69,3.89,4.74,3.57,6.63,7.43
2,0.338,0.619,0.818,1.1,1.72,2.67,3.92,5.32,6.29,7.22,8.4,9.27
3,0.672,1.09,1.36,1.74,2.53,3.67,5.1,6.68,7.75,8.76,10,10.9
4,1.07,1.62,1.97,2.43,3.36,4.67,6.27,7.99,9.15,10.2,11.6,12.5
5,1.53,2.2,2.61,3.15,4.21,5.67,7.42,9.27,10.5,11.6,13.1,14.1
6,2.03,2.81,3.28,3.89,5.08,6.67,8.55,10.5,11.8,13,14.5,15.6
7,2.57,3.45,3.98,4.65,5.95,7.66,9.68,11.7,13.1,14.4,16,17.1
8,3.13,4.11,4.69,5.43,6.83,8.67,10.8,12.9,14.4,15.7,17.8,18.5
9,3.71,4.79,5.42,6.22,7.62,9.66,11.9,14.2,15.7,17,18.7,19.9
10,4.32,5.49,6.16,7.02,8.62,10.67,13,15.4,16.9,18.3,20.1,21.3
11,4.94,6.2,6.92,7.82,9.51,11.67,14.1,16.5,18.2,19.6,21 4,22.7
12,5.95,6.92,7.69,8.64,10.42,12.67,15.2,17.7,19.4,20.9,22.8,24.1
13,6.23,7.65,8.46,9.47,11.32,13.67,16.3,18.9,20.6,22.2,24.1,25.4
14,6.89,8.39,9.24,10.3,12.23,14.67,17.4,20.1,21.8,23.4,25.4,26.8
15,7.56,9.14,10.03,11.13,13.15,15.67,18.4,21.2,23,24.7,26.7,28.2
16,8.24,9.9,10.83,11.97,14.06,16.67,19.5,22.4,24.3,25.9,28,29.5
17,8.24,10.76,11.63,12.82,14.98,17.67,20.6,23.6,25.5,27.2,29.3,30.8
18,9.94,11.43,12.44,13.67,15.9,18.67,21.7,24.7,26.6,28.4,30.5,32.1
19,10.35,12.21,13.25,14.52,16.83,19.67,22.8,25.9,27.8,29.6,31.8,33.4
20,11.06,12.99,14.07,15.38,17.75,20.67,23.8,27,29.6,30.8,33.1,34.7
21,11.79,13.78,14.89,16.24,18.68,21.67,24.9,28.1,30.2,32.1,34.3,35.9
22,12.52,14.58,15.71,17.1,19.61,22.67,26,29.3,31.4,32.3,35.6,37.2
23,13.25,15.37,16.54,17.97,20.54,23.67,27,30.04,32.5,34.5,36.8,38.5
24,13.99,16.17,17.38,18.84,21.47,24.67,28.1,31.5,33.7,35.7,38,39.7
25,14.74,16.98,18.21,19.71,22 40,25.67,29.2,32.7,34.9,36.9,39.3,41
